type,sub_type,text,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,Price_Per_SqFt
single_family,,"Welcome to [Redacted Entity], a stunning modern farmhouse built in 2023 in the heart of [Redacted Entity], [Redacted Entity]. This custom single-story home blends timeless design with todays conveniences, offering 3 bedrooms, 2 bathrooms, and approximately 1, 472 square feet of thoughtfully designed living space. From the moment you step inside, youll notice the open-concept layout featuring platinum pearl quartzite countertops, soft-close cabinetry, top of the line stainless appliances and a spacious walk-in pantry. Smart lock, security cameras and ring doorbell are all included. The oversized two-car garage offers plenty of room for vehicles, storage, or a workshop, and the deep, fully fenced backyard is perfect for entertaining, pets, or simply relaxing under wide [Redacted Entity] skies. Just a short stroll away, youll find the downtown square, vineyard, [Redacted Entity] ([Redacted Entity]) and community amenities including a splash pad, park, and baseball field. Zoned for [Redacted Entity] schools, this location offers the best of small-town living while remaining convenient to the growing [Redacted Entity] region. [Redacted Entity] available for sale outside of closing with bill of sale. See offer instructions for more information. Currently used as a short term rental and may not always be available for showings, please contact agent for availability.",375000.0,1472.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,254.76
single_family,,"Welcome to a unique corner lot in [Redacted Entity]. Open view, tress at the back and side of the house with only one neighbor. This beautiful [Redacted Entity] offer four bedrooms and two and a half bathrooms. Designed with an open concept layout, this plan caters to all your needs. The living area provides an ideal space for gathering with friends and family or enjoying moments of relaxation at the end of the day. Designated dinning area, spacious walk way entrance. On the upper level, a generous game room awaits, providing a versatile area for entertainment and leisure. The luxurious master suite, thoughtfully positioned at the rear of the home, offers peaceful, serene views of mature trees and lush greenery-creating your own private oasis. Easy in and out of neighborhood and close to 249. This beautiful home combines modern comfort, functional design, and a prime location in a peaceful yet convenient neighborhood. Don't miss your chance to make it yours!",298990.0,2190.0,2.0,4.0,3.0,2.0,2.0,2.0,2022.0,136.53
single_family,,"Prime [Redacted Entity] with Unmatched Convenience! Welcome to [Redacted Entity], ideally situated with quick access to some of [Redacted Entity]'s most sought-after destinations. Located just minutes from The [Redacted Entity], [Redacted Entity], and [Redacted Entity], this home offers the perfect blend of accessibility and vibrant city living. Enjoy an easy commute with convenient access to Hwy 59/69 and Loop 610, connecting you quickly to I-10 and the Memorial area. Step outside your door and explore an abundance of nearby amenities including premier shopping, top-rated dining, cozy coffee shops, boutique fitness studios, Pilates studios, and local dessert and ice cream spots. For those who enjoy the outdoors, [Redacted Entity] trails, green spaces, and recreation areas are just a short drive away. This location offers the ideal balance of urban convenience and neighborhood comfort, placing you close to many of [Redacted Entity]'s best lifestyle destinations.",595000.0,2890.0,2.0,4.0,4.0,3.0,3.0,2.0,2023.0,205.88
single_family,,"[Redacted Entity] offers brand-new single-family homes for sale at the [Redacted Entity] masterplan in [Redacted Entity], [Redacted Entity]. The local area offers endless opportunities for outdoor recreation at [Redacted Entity] along [Redacted Entity]. Enjoy camping at [Redacted Entity] or lounging on pristine local beaches at Corpus Christi [Redacted Entity], just 20 minutes away. Plus, the community is within the well-regarded [Redacted Entity].",269999.0,1850.0,1.0,4.0,2.0,2.0,2.0,2.0,,145.95
single_family,,"MAJOR PRICE [Redacted Entity]! [Redacted Entity] OPPORTUNITY FOR BUYERS LOOKING FOR VALUE. This home offers solid potential with great space, layout, and an amazing yard! Nestled in a quiet, established [Redacted Entity] neighborhood, 4411 Willow Bend is a beautifully maintained, one-family-owned home and is ready for the next family to make their mark.",310000.0,1976.0,1.0,4.0,2.0,2.0,2.0,2.0,1980.0,156.88
single_family,,"Brand new, energy-efficient home available by Mar 2026! Well thought out design features, including the centrally located laundry room, are found in this floorplan. Gray cabinets with ashen white granite countertops, cool beige [Redacted Entity] flooring, and warm grey carpet in our Clarity package. Enjoy the small-town charm and a quiet sense of community at [Redacted Entity] in [Redacted Entity], [Redacted Entity]. Located just 15 miles north of [Redacted Entity], [Redacted Entity] offers convenient access to major highways and local schools. Schedule a community tour today and see the benefits of Meritage homes with energy-efficient features like multispeed HVAC systems, spray foam insulation, and high-performance air filtration. Each of our homes is built with innovative, energy-efficient features designed to help you enjoy more savings, better health, real comfort and peace of mind.",329990.0,2012.0,1.0,4.0,3.0,3.0,3.0,2.0,2026.0,164.01
single_family,,"HISTORY MEETS WIDE OPEN SPACES! This home sits on 1.45 acres and the price includes an additional 20 +/- acres!!! The historical 1902 1st [Redacted Entity] w/ 12 ft. original ceilings & walls. Hard pine wood floors, w/ a great view of [Redacted Entity]! A full kitchen upstairs and a full kitchen downstairs makes for a cook's dream! Butlers pantry, and custom cabinets. Upstairs holds a full bath w/ claw foot bathtub, a bedroom w/walk in closet, and a living area showcasing ceiling to floor [Redacted Entity] a large deck for amazing views! The walk-out basement has a covered patio, a full living space and a wood burning stove. Three bedrooms and three bathrooms plus a large utility room and office space! Watch the children play & nearby buffalo roam or store the [Redacted Entity] under covered parking!",399900.0,3563.0,,4.0,4.0,3.0,3.0,4.0,2009.0,112.24
townhomes,townhouse,"Located in New gated community, this corner unit two-story townhome offers a functional layout with generous storage throughout. The first floor features an entry with coat closet and stair access, an open living and dining area, and a galley-style kitchen with range, sink, refrigerator space, and upper and lower cabinetry. Downstairs is a bedroom with closet, a full bathroom with walk-in shower, a separate utility room with full-size washer and dryer connections. Upstairs, a central hallway provides extra storage and leads to two secondary bedrooms with closets, a full hall bath with tub/shower combo, and a spacious primary suite with a private bath with shower. This community will also feature amenities such as dog park, walking trail, playground and more.",268000.0,1251.0,2.0,4.0,3.0,3.0,3.0,,2025.0,214.23
single_family,,"Well-maintained 3BD/2BA home with open-concept living, vaulted ceilings, fireplace and updated flooring. Modern looking kitchen with appliances. Sliding door leads to the backyard. Includes a one car garage and laundry room. Great layout for everyday living and entertaining.",197000.0,1268.0,1.0,3.0,2.0,2.0,2.0,1.0,1987.0,155.36
single_family,,No description provided.,1190000.0,4279.0,2.0,5.0,6.0,6.0,6.0,2.0,2023.0,278.1
single_family,,"Great opportunity in [Redacted Entity], [Redacted Entity]! This 3-bedroom, 2-bath home at 820 [Redacted Entity] offers plenty of space and potential for someone ready to give it a little TLC. Whether you're looking for an investment, rental opportunity, or a home to make your own, this property is full of possibilities at an affordable price.",130000.0,1188.0,,3.0,2.0,1.0,2.0,2.0,1957.0,109.43
multi_family,,"Nicest duplex in [Redacted Entity]! Well kept 3 bedroom 2 bathroom duplex for lease. This duplex has great natural light, plenty of storage, nice upgrades, built-ins, and a 2 car garage with virtually flat driveway. This home was built with efficiency in mind with upgraded insulation, windows, ceiling fans, etc. The side and back yards are privacy fenced. Washer and dryer are included if need. Pets are allowed. Available now for move-in. Schedule a showing today!",1595.0,1312.0,,0.0,,,,,2004.0,1.22
single_family,,"Want a COOL LAKE VIEW? PRICE REDUCTION! Look at this! The home is so cute, one level living, much of it has been redone, open concept, split bedroom plan and talk about location!!! The home sits up on OUT [Redacted Entity], a very convenient location to all of the amenities in beautiful [Redacted Entity], a couple of minutes to the private airport, also to the main area of the [Redacted Entity] and just a couple of minutes to [Redacted Entity] and Grill! (Membership to The Club at [Redacted Entity] required to use the facilities, see Membership for further information). This home does NOT come with a membership! More about this cute home, it is one level, no steps to the entry and there is additional lot that conveys with the home, price inclusive. There has been quite a bit done to update it, ceramic tile wood look floors, new paint, updated kitchen, [Redacted Entity], new electrical work, new guest bathroom with shower, two-car garage, fenced back yard that has just been leveled and resodded. The fireplace is wood burning, a cute bar was added for coffee or wine, & an extra bedroom is currently set up as an office but has a closet. The primary suite is private, & the large, UPDATED bathroom & walk-in closet are perfect for extra space. There is a soaking tub, a separate [Redacted Entity] double vanity. This home does qualify for SHORT TERM RENTALS but would make a perfect weekend getaway or fun first home in our beautiful [Redacted Entity]! The lot to the left will be first option of the buyer of the home but NOT included in the price.",519000.0,1887.0,,3.0,2.0,2.0,2.0,,1997.0,275.04
condos,condo,Fully furnished one bedroom in calm and peaceful area of [Redacted Entity]. Close to grocery store and other restaurants. Clean and with a great view of the wildlife from the balcony.,169000.0,732.0,1.0,1.0,1.0,1.0,1.0,,1984.0,230.87
single_family,,"Beautiful corner lot home in [Redacted Entity] newest subdivision!! This three-bedroom, two-bath home features an Open-concept living space where modern elegance meets everyday comfort, decorative high ceilings with an exposed beam and an accent wall in the living room. The primary bathroom features a dual vanity, a walk-in shower, and a walk-in closet. Thoughtfully designed with architectural details throughout, this space offers both sophistication and versatility, ready to complement any decor style and elevate your lifestyle.",274999.0,1550.0,1.0,3.0,2.0,2.0,2.0,1.0,2025.0,177.42
single_family,,"Welcome to this beautifully updated brick ranch home on a spacious corner lot in the heart of Sherman! With its thoughtful upgrades, prime location, and inviting outdoor spaces, this property offers the perfect blend of comfort, function, and styleideal for owner-occupants or investors alike. Step inside to discover an open, light-filled layout with luxury vinyl plank flooring throughoutdurable, modern, and easy to maintain. The recently remodeled kitchen is a showpiece, featuring butcher block countertops, a natural gas range, white cabinetry, and stylish finishes that blend warmth with practicality. The kitchen flows effortlessly into the dining and living areas, creating an ideal setting for gatherings, movie nights, or quiet evenings at home. This single-level home offers three comfortable bedrooms and two full bathrooms, including a private primary suite. A new roof (2023) provides peace of mind, while the attached garage and covered breezeway leading directly into the kitchen add convenience year-round. Outside, enjoy a spacious fenced backyard perfect for entertaining, pets, or play. A covered patio extends your living space outdoors, and the underground storm shelter adds an extra layer of security. Mature trees offer shade and privacy, creating your own retreat just minutes from city amenities. Location couldnt be betterjust around the corner from [Redacted Entity], [Redacted Entity] baseball complex, [Redacted Entity] with [Redacted Entity], and [Redacted Entity], with quick access to [Redacted Entity] from major employers like [Redacted Entity]. Whether youre looking for a move-in-ready home or a turnkey investment property with strong rental potential, this one checks all the boxes. Experience comfort, convenience, and lasting value in one of Shermans most desirable areasschedule your showing today!",195000.0,1122.0,1.0,3.0,2.0,2.0,2.0,1.0,1955.0,173.8
single_family,,"Homes rarely come available in the highly sought-after [Redacted Entity] neighborhood, and this one is truly something special. Custom built by the original owners, this thoughtfully designed home is full of unique features and timeless charm. Located on over half an acre in the heart of College Station, you'll enjoy peaceful living just minutes from everything you need. Inside, standout touches include a built-in bread counter for dough prep, a custom island cooktop cover for added workspace, and built-ins throughout-including a beautiful dining room buffet. The ideal floor plan features two bedrooms and two full baths downstairs, including a spacious primary suite. Upstairs offers more bedrooms and a [Redacted Entity]-and-Jill bath for flexible living. The oversized 3-car garage includes a workshop and full bath, plus a utility room, greenhouse, and shed for added space. A massive back patio completes this rare gem perfect for entertaining or relaxing.",699000.0,3805.0,2.0,4.0,4.0,4.0,4.0,3.0,1988.0,183.71
single_family,single family detached,"[Redacted Entity] is a custom-built 5-bed/5.5-bath hacienda-style home located in the Tierra [Redacted Entity] subdivision just off of [Redacted Entity] in Concan and comfortably sleeps up to 21 guests. It features five bedrooms each with their own bath and an additional 1/2 bath just off the kitchen. The living area with a beautiful wood burning fire place, kitchen, and dining area feature an open concept. Enjoy a night under the stars around the outdoor fire pit, or a daytime dip in the sparkling pool. Located close to [Redacted Entity], the golf course, various Frio River access points, and [Redacted Entity], [Redacted Entity] is what you've been looking for.",595000.0,3002.0,1.0,5.0,6.0,5.0,5.0,,2010.0,198.2
single_family,single family detached,"Where [Redacted Entity] meets relaxation! This custom 4-bedroom, 4.5-bath home offers the perfect blend of luxury and [Redacted Entity] charm. Nestled on over [Redacted Entity], this home provides privacy, long views, and Frio River access. Enjoy days and evenings by the heated pool and cabana, or fishing in the stocked pond just steps from your door. Nearby Frio River attractions like [Redacted Entity], Concan, and [Redacted Entity] make this home ideal for relaxation and adventure. A rare find just north of Concan - perfect as a private getaway or investment property.",1200000.0,2525.0,2.0,4.0,4.0,3.0,3.0,,2011.0,475.25
single_family,,"Beautifully remodeled single-story home in [Redacted Entity], conveniently located just minutes from President [Redacted Entity]. This stunning 4-bedroom, 2.5-bath residence has been fully renovated down to the studs, featuring a modern design and open-concept floor plan. The kitchen and bathrooms showcase quartz countertops throughout. Major upgrades include a brand-new 2025 roof, new windows, a completely new HVAC system and ducts, all new [Redacted Entity], foam insulation for energy efficiency, and a new electrical panel. Enjoy a spacious grassy backyard with a large metal workshop. This home truly has it all.",295000.0,1442.0,1.0,4.0,3.0,2.0,2.0,,1969.0,204.58
single_family,,"Discover a warm and inviting charmer that genuinely feels like home sweet home. This recently built gem at [Redacted Entity]. offers the perfect blend of comfort, convenience, and modern style. Nestled in the friendly community of [Redacted Entity], this home is just minutes from the scenic [Redacted Entity] and [Redacted Entity], making it an ideal choice for anyone who wants to stay active. Step inside this former model home and experience the benefits of newer construction, including energy-efficient spray foam insulation and an insulated garage door for year-round comfort. The open-concept floor plan creates a spacious atmosphere, perfect for relaxing or entertaining guests. The beautiful kitchen is a cooks haven with its double oven, stainless steel appliances, quartz countertops, large island, and expansive walk-in pantry. The primary bathroom boasts a roomy walk-in shower, convenient double sinks, and a deep soaker tub. Enjoy the peace of mind that comes with a low-maintenance yard, giving you more time to explore the outdoors and less time on upkeep. The welcoming neighborhood offers a sense of community, while the affordable price makes it accessible for those ready to start their next chapter. Whether relaxing at home, enjoying nearby parks, or spending time at the lake, this versatile property is ready to meet your needs. Take one look inside [Redacted Entity]. and you will fall in love with this home.",359000.0,1822.0,1.0,3.0,3.0,2.0,2.0,2.0,2022.0,197.04
single_family,,"Welcome to [Redacted Entity], [Redacted Entity], a charming [Redacted Entity] gem that blends timeless character with modern upgrades all in a location close to everything. This inviting single-story home offers 3 spacious bedrooms and 1 updated bathroom, thoughtfully laid out across a bright, functional floor plan. Original hardwood floors add warmth and character, while recessed lighting brings a modern touch. Abundant natural light fills the home, creating an inviting atmosphere from the moment you walk in. The kitchen has been refreshed and features stainless steel appliances, updated finishes, and ample cabinetry perfect for everyday cooking or entertaining. The updated shower and bathroom improvements provide a clean, contemporary feel while maintaining the homes charm. Major upgrades offer peace of mind, including a brand-new HVAC system for comfort and energy efficiency. Step outside and notice the oversized lot a rare feature in this area. The fully fenced backyard provides endless possibilities: host gatherings, build a patio, start a garden, expand, or simply enjoy the privacy and space thats hard to find at this price point. The 1-car attached garage adds convenience with secure parking, storage, or workspace flexibility. Location is where this home shines. Youre minutes from [Redacted Entity], the historic [Redacted Entity], and vibrant downtown entertainment. Easy access to 820, I-30, and 287 makes commuting across [Redacted Entity] and the [Redacted Entity] simple. With recessed lighting, stainless steel appliances, updated bathroom finishes, a new HVAC system, an attached garage, an oversized lot, and a prime location near [Redacted Entity] most iconic destinations [Redacted Entity] C delivers exceptional value. Schedule your showing today. Homes offering this combination of updates, space, and location do not last long.",215000.0,991.0,1.0,3.0,2.0,2.0,2.0,1.0,1954.0,216.95
multi_family,,"Brand [Redacted Entity]. Exceptional investment opportunity in a desirable multi-family subdivision just minutes from top schools, shopping, and dining.These newly built fourplexes offer modern design, strong tenant appeal, and immediate cash flow.Each unit features a bright open-concept layout with elegant wood-look tile flooring, a contemporary kitchen with custom cabinetry, quartz countertops, and a spacious island providing ample storage and workspace.Bedrooms are generously sized with large closets, and the primary suites include a luxurious frameless glass shower and walk-in closet. Additional highlights include private fenced backyards for every unit, stainless steel appliances, in-unit washer and dryer, and covered carports. This is an outstanding opportunity for investors seeking a low- maintenance, high-demand rental asset in a rapidly growing area.Don't miss your chance to own a premium multi-family property with long-term value and impressive rental potential.",469000.0,4052.0,1.0,,,,,,2025.0,115.75
single_family,single family detached,"WELCOME to this lovely single story home that sits on a corner lot****This home features 3/1 with one car garage***Tile floors and vinyl in bedrooms for easy cleaning***Cozy fire place****Kitchen has granite counter tops****Ceiling fans in all 3 bedrooms. This property offers a perfect blend of privacy and convenience. Its tucked away in a serene section of the community while still providing easy access to [Redacted Entity], [Redacted Entity] 281, Loop 410 and 1604, shopping and dining areas. The [Redacted Entity] community offers amenities for everyone including a sparkling pool, sports court, and a park with a playground for weekends fun with family or friends. Your client will not be disappointed. Schedule your showing. Price to sell...... *****Property is also for lease*****",179900.0,988.0,1.0,3.0,1.0,1.0,1.0,1.0,1982.0,182.09
single_family,,"The single-story [Redacted Entity] epitomizes convenience with no stairs and simplifies daily living. Its thoughtful design features a welcoming foyer, upgraded kitchen and open dining space, all easily accessible from one central point. With every room on the same level, including the master suite and two secondary bedrooms, the [Redacted Entity] offers ease and accessibility for all ages. The covered back patio and fully fenced yard provide a private outdoor space for family enjoyment. Enjoy upgrades like granite countertops, wood cabinetry, wood-style flooring, a Wi-Fi-enabled garage door opener and programmable thermostat all at no additional cost to you. Additionally this lot provides a wonderful view from the back of the home as it does not have any neighbors directly behind it.",265900.0,1356.0,1.0,3.0,2.0,2.0,2.0,2.0,2024.0,196.09
single_family,,"[Redacted Entity]! Discover this stunning 2,726 sq ft inventory home in the sought after Solterra community in [Redacted Entity]. It features four spacious bedrooms, three full baths, a dedicated study for work or quiet time, and a fun game room perfect for family entertainment. Additional luxury features include engineered hardwood floors, quartz countertops, and 8 ft doors throughout the first floor. The home is nestled in a beautiful 1,400 acre master planned community with eight acres of amenities, including pools, a fitness center, trails, and a treehouse park. Enjoy modern design and a convenient location near 635 and I 20, as well as major employers, making it ideal for comfortable, active living.",573000.0,2726.0,2.0,4.0,3.0,3.0,3.0,3.0,,210.2
